datesold,price,suburb,postcode,lat,lon,parking,bathrooms,bedrooms,propertyType,suburbid
9/06/2000,223000,Nicholls,2913,NULL,NULL,2,2,4,house,ACT708
1/01/2001,350000,Ngunnawal,2913,NULL,NULL,1,NULL,3,house,ACT706
11/12/2003,550000,Weston,2611,NULL,NULL,2,NULL,4,house,ACT441
21/09/2005,276000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
1/11/2005,400000,Conder,2906,NULL,NULL,2,NULL,5,house,ACT613
22/11/2005,350000,Theodore,2905,NULL,NULL,2,2,3,house,ACT610
8/12/2005,447500,Conder,2906,NULL,NULL,2,NULL,5,house,ACT613
14/12/2005,355000,Conder,2906,NULL,NULL,2,NULL,4,house,ACT613
22/12/2005,350000,Conder,2906,NULL,NULL,1,NULL,4,house,ACT613
9/01/2006,435000,Banks,2906,NULL,NULL,2,NULL,4,house,ACT614
17/01/2006,270000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
7/02/2006,272500,Chisholm,2905,NULL,NULL,1,1,3,house,ACT609
17/02/2006,280500,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
20/02/2006,385000,Banks,2906,NULL,NULL,2,NULL,4,house,ACT614
24/02/2006,310000,Waramanga,2611,NULL,NULL,2,NULL,3,house,ACT442
1/03/2006,255000,Conder,2906,NULL,NULL,0,2,3,house,ACT613
31/03/2006,250000,Theodore,2905,NULL,NULL,1,1,3,house,ACT610
2/05/2006,250000,Conder,2906,NULL,NULL,1,2,3,house,ACT613
2/05/2006,420000,Conder,2906,NULL,NULL,2,2,4,house,ACT613
23/05/2006,250000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
13/06/2006,270000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
29/06/2006,308000,Banks,2906,NULL,NULL,2,NULL,3,house,ACT614
18/07/2006,350000,Conder,2906,NULL,NULL,1,2,3,house,ACT613
20/07/2006,425000,Wanniassa,2903,NULL,NULL,2,NULL,5,house,ACT602
4/08/2006,319000,Gilmore,2905,NULL,NULL,1,1,3,house,ACT608
17/08/2006,292500,Banks,2906,NULL,NULL,2,2,3,house,ACT614
30/08/2006,450000,Conder,2906,NULL,NULL,2,1,5,house,ACT613
8/09/2006,275000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
11/09/2006,250000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
29/09/2006,270000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
29/09/2006,545000,Banks,2906,NULL,NULL,2,2,4,house,ACT614
10/10/2006,250000,Gowrie,2904,NULL,NULL,1,1,2,house,ACT604
23/10/2006,250000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
27/10/2006,250000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
4/11/2006,250000,Gordon,2906,NULL,NULL,1,1,3,house,ACT616
16/11/2006,345000,Chisholm,2905,NULL,NULL,2,2,3,house,ACT609
24/11/2006,320000,Conder,2906,NULL,NULL,1,1,3,house,ACT613
1/12/2006,350000,Gordon,2906,-35.463834,149.085331,1,2,3,house,ACT616
6/12/2006,245000,Bonython,2905,NULL,NULL,1,NULL,2,house,ACT619
19/12/2006,274000,Isabella Plains,2905,NULL,NULL,1,1,3,house,ACT612
22/12/2006,367000,Bonython,2905,NULL,NULL,0,1,4,house,ACT619
23/12/2006,250000,Banks,2906,NULL,NULL,2,1,3,house,ACT614
21/01/2007,450000,Conder,2906,-35.465751,149.11136,2,2,3,house,ACT613
7/02/2007,525000,Pearce,2607,NULL,NULL,2,NULL,4,house,ACT331
16/02/2007,250000,Isabella Plains,2905,-35.425169,149.099422,1,1,3,house,ACT612
22/02/2007,350000,Gordon,2906,-35.464457,149.084241,1,2,3,house,ACT616
27/02/2007,290000,Conder,2906,-35.46227,149.109476,1,1,3,house,ACT613
7/03/2007,328000,Isabella Plains,2905,-35.425882,149.086554,2,1,3,house,ACT612
9/03/2007,380000,Theodore,2905,NULL,NULL,2,2,4,house,ACT610
21/03/2007,310000,Banks,2906,NULL,NULL,2,1,3,house,ACT614
4/04/2007,465000,Calwell,2905,NULL,NULL,2,2,4,house,ACT611
24/04/2007,399000,Mawson,2607,NULL,NULL,1,1,3,house,ACT333
30/04/2007,1530000,O'Malley,2606,NULL,NULL,2,NULL,4,house,ACT335
24/05/2007,359000,Kambah,2902,NULL,NULL,2,NULL,3,house,ACT601
25/05/2007,320000,Banks,2906,NULL,NULL,1,2,3,house,ACT614
30/05/2007,350000,Nicholls,2913,NULL,NULL,2,2,3,house,ACT708
31/05/2007,675000,Calwell,2905,NULL,NULL,2,3,5,house,ACT611
15/06/2007,875000,Yarralumla,2600,NULL,NULL,2,1,3,house,ACT212
16/06/2007,875000,Deakin,2600,NULL,NULL,1,NULL,4,house,ACT215
16/06/2007,350000,Isabella Plains,2905,-35.425882,149.086554,2,2,3,house,ACT612
25/06/2007,550000,Monash,2904,NULL,NULL,2,2,4,house,ACT603
26/06/2007,385000,Kambah,2902,NULL,NULL,2,NULL,3,house,ACT601
27/06/2007,305000,Banks,2906,NULL,NULL,1,1,3,house,ACT614
27/06/2007,615000,Braddon,2612,NULL,NULL,2,2,3,house,ACT106
27/06/2007,850000,Reid,2612,NULL,NULL,1,2,4,house,ACT109
28/06/2007,2000000,Yarralumla,2600,NULL,NULL,2,3,3,house,ACT212
28/06/2007,765000,Fadden,2904,NULL,NULL,2,3,4,house,ACT605
29/06/2007,450000,Wanniassa,2903,NULL,NULL,4,NULL,3,house,ACT602
30/06/2007,50000,Narrabundah,2604,NULL,NULL,1,2,4,house,ACT218
30/06/2007,517000,Fraser,2615,NULL,NULL,2,2,4,house,ACT577
2/07/2007,450000,Weston,2611,NULL,NULL,2,NULL,3,house,ACT441
2/07/2007,800000,Amaroo,2914,NULL,NULL,3,NULL,5,house,ACT707
3/07/2007,336000,Gordon,2906,-35.45508,149.090221,0,1,3,house,ACT616
4/07/2007,675000,Red Hill,2603,NULL,NULL,2,NULL,4,house,ACT221
4/07/2007,595000,Braddon,2612,NULL,NULL,1,2,3,house,ACT106
5/07/2007,50000,Hackett,2602,NULL,NULL,1,1,3,house,ACT126
6/07/2007,350000,Belconnen,2616,NULL,NULL,1,1,2,house,ACT559
6/07/2007,535000,Florey,2615,NULL,NULL,4,NULL,5,house,ACT560
7/07/2007,675000,Narrabundah,2604,-35.33925,149.14565,1,2,3,house,ACT218
7/07/2007,2000000,Pearce,2607,-35.359324,149.077622,2,NULL,5,house,ACT331
7/07/2007,350000,Ngunnawal,2913,NULL,NULL,1,NULL,3,house,ACT706
7/07/2007,900000,Hackett,2602,NULL,NULL,2,2,4,house,ACT126
8/07/2007,327000,Barton,2600,NULL,NULL,0,1,1,house,ACT214
11/07/2007,450000,Bonython,2905,NULL,NULL,2,2,3,house,ACT619
12/07/2007,427500,Downer,2602,NULL,NULL,1,NULL,3,house,ACT124
13/07/2007,675000,Garran,2605,NULL,NULL,0,NULL,5,house,ACT330
13/07/2007,780000,Hackett,2602,-35.24412537,149.1646729,2,2,3,house,ACT126
16/07/2007,550000,City,2601,NULL,NULL,2,NULL,2,house,ACT108
16/07/2007,50000,Narrabundah,2604,-35.33822632,149.1371918,0,2,3,house,ACT218
16/07/2007,720000,Oxley,2903,NULL,NULL,4,4,6,house,ACT623
17/07/2007,2000000,Griffith,2603,NULL,NULL,2,1,4,house,ACT220
18/07/2007,875000,Pearce,2607,-35.36375427,149.0762024,2,NULL,4,house,ACT331
18/07/2007,450000,Waramanga,2611,NULL,NULL,1,NULL,4,house,ACT442
18/07/2007,2000000,Curtin,2605,NULL,NULL,2,NULL,3,house,ACT328
18/07/2007,530000,O'Connor,2602,NULL,NULL,2,NULL,3,house,ACT103
18/07/2007,590000,Ainslie,2602,NULL,NULL,1,NULL,3,house,ACT104
20/07/2007,360000,Scullin,2614,NULL,NULL,1,2,3,house,ACT564
20/07/2007,525000,Curtin,2605,NULL,NULL,3,NULL,3,house,ACT328
20/07/2007,549000,Fadden,2904,NULL,NULL,2,2,4,house,ACT605
21/07/2007,50000,Pearce,2607,-35.36407089,149.0778351,2,NULL,5,house,ACT331
21/07/2007,1780000,Griffith,2603,NULL,NULL,0,2,4,house,ACT220
23/07/2007,335000,Chapman,2611,NULL,NULL,1,NULL,2,house,ACT444
28/07/2007,550000,Weston,2611,-35.3339524,149.0599658,2,NULL,4,house,ACT441
28/07/2007,50000,Lyons,2606,NULL,NULL,3,NULL,4,house,ACT329
30/07/2007,675000,Isaacs,2607,NULL,NULL,2,2,3,house,ACT336
30/07/2007,446000,Weston,2611,-35.33685684,149.0571137,2,NULL,3,house,ACT441
30/07/2007,558000,Farrer,2607,NULL,NULL,2,NULL,4,house,ACT334
31/07/2007,506000,Curtin,2605,-35.33041382,149.0728149,0,NULL,3,house,ACT328
31/07/2007,520000,Wanniassa,2903,NULL,NULL,2,NULL,4,house,ACT602
31/07/2007,720000,Kambah,2902,NULL,NULL,2,NULL,6,house,ACT601
2/08/2007,875000,Fadden,2904,NULL,NULL,2,2,4,house,ACT605
3/08/2007,383000,Richardson,2905,NULL,NULL,4,1,3,house,ACT607
3/08/2007,520000,Farrer,2607,NULL,NULL,0,NULL,3,house,ACT334
4/08/2007,550000,Narrabundah,2604,-35.33392334,149.1409454,2,1,4,house,ACT218
7/08/2007,350000,Weston,2611,-35.34060669,149.0608521,1,NULL,3,house,ACT441
7/08/2007,815000,Fadden,2904,-35.40178299,149.1093445,2,3,5,house,ACT605
10/08/2007,325000,Gordon,2906,-35.462126,149.088341,1,1,3,house,ACT616
10/08/2007,545500,Hackett,2602,-35.24767685,149.1682892,2,1,3,house,ACT126
10/08/2007,760000,Hackett,2602,-35.24245071,149.1657715,0,1,3,house,ACT126
11/08/2007,520000,Ainslie,2602,NULL,NULL,1,NULL,3,house,ACT104
11/08/2007,636000,Lyons,2606,NULL,NULL,2,NULL,3,house,ACT329
13/08/2007,550000,Weston,2611,-35.3454895,149.062027,5,NULL,4,house,ACT441
13/08/2007,875000,Hughes,2605,NULL,NULL,2,NULL,5,house,ACT327
14/08/2007,625000,Kaleen,2617,NULL,NULL,2,NULL,4,house,ACT553
16/08/2007,675000,Narrabundah,2604,-35.34427261,149.1424408,2,2,3,house,ACT218
16/08/2007,350000,Theodore,2905,NULL,NULL,1,1,2,house,ACT610
16/08/2007,790000,Deakin,2600,NULL,NULL,2,2,4,house,ACT215
17/08/2007,50000,Fisher,2611,-35.3582077,149.0575867,2,2,5,house,ACT443
18/08/2007,675000,Ainslie,2602,NULL,NULL,1,NULL,3,house,ACT104
18/08/2007,875000,Deakin,2600,NULL,NULL,1,2,5,house,ACT215
20/08/2007,675000,Torrens,2607,NULL,NULL,2,NULL,5,house,ACT332
21/08/2007,320000,Isabella Plains,2905,-35.425185,149.0844043,1,1,3,house,ACT612
21/08/2007,418000,Kambah,2902,NULL,NULL,2,NULL,5,house,ACT601
21/08/2007,455000,Calwell,2905,NULL,NULL,2,2,4,house,ACT611
23/08/2007,560000,Ngunnawal,2913,NULL,NULL,2,NULL,4,house,ACT706
24/08/2007,585000,Fadden,2904,-35.39959717,149.1156921,1,2,4,house,ACT605
25/08/2007,550000,Narrabundah,2604,-35.33562469,149.1447296,1,2,3,house,ACT218
25/08/2007,675000,Chapman,2611,-35.35380173,149.0401611,2,NULL,5,house,ACT444
25/08/2007,450000,Waramanga,2611,NULL,NULL,0,NULL,3,house,ACT442
25/08/2007,550000,Weston,2611,-35.3404541,149.058548,1,NULL,4,house,ACT441
27/08/2007,550000,Narrabundah,2604,-35.33771515,149.1452484,1,1,3,house,ACT218
27/08/2007,2250000,Forrest,2603,NULL,NULL,3,3,6,house,ACT216
28/08/2007,325000,Conder,2906,-35.462532,149.102853,1,2,2,house,ACT613
28/08/2007,420000,Kambah,2902,NULL,NULL,1,NULL,4,house,ACT601
29/08/2007,599000,Downer,2602,NULL,NULL,4,NULL,3,house,ACT124
30/08/2007,315000,Calwell,2905,NULL,NULL,1,1,2,house,ACT611
30/08/2007,367000,Ngunnawal,2913,NULL,NULL,2,NULL,3,house,ACT706
31/08/2007,875000,Mawson,2607,NULL,NULL,2,2,4,house,ACT333
31/08/2007,348000,Kambah,2902,NULL,NULL,0,NULL,3,house,ACT601
31/08/2007,532500,Duffy,2611,NULL,NULL,2,NULL,4,house,ACT446
1/09/2007,450000,Stirling,2611,NULL,NULL,2,NULL,3,house,ACT448
1/09/2007,315000,Gordon,2906,-35.462126,149.088341,1,1,2,house,ACT616
3/09/2007,675000,McKellar,2617,NULL,NULL,2,3,4,house,ACT575
3/09/2007,465000,Fisher,2611,-35.35986328,149.0488434,2,2,3,house,ACT443
4/09/2007,675000,Turner,2612,NULL,NULL,2,2,3,house,ACT105
4/09/2007,820000,Nicholls,2913,NULL,NULL,2,2,4,house,ACT708
6/09/2007,350000,Nicholls,2913,NULL,NULL,2,2,3,house,ACT708
6/09/2007,590000,Chapman,2611,-35.36209488,149.0445252,2,NULL,3,house,ACT444
7/09/2007,875000,Griffith,2603,NULL,NULL,2,2,4,house,ACT220
7/09/2007,550000,Fisher,2611,-35.36106873,149.0589447,1,1,3,house,ACT443
8/09/2007,50000,Macquarie,2614,-35.25475311,149.0561981,1,1,4,house,ACT558
8/09/2007,50000,Hughes,2605,NULL,NULL,2,NULL,4,house,ACT327
8/09/2007,50000,Deakin,2600,NULL,NULL,2,2,4,house,ACT215
10/09/2007,675000,Curtin,2605,-35.33388138,149.0818329,3,NULL,4,house,ACT328
11/09/2007,559000,Monash,2904,NULL,NULL,2,2,4,house,ACT603
13/09/2007,450000,Fisher,2611,-35.36488342,149.0577393,2,2,4,house,ACT443
15/09/2007,446000,Kambah,2902,NULL,NULL,3,NULL,4,house,ACT601
18/09/2007,470000,Downer,2602,NULL,NULL,1,2,3,house,ACT124
19/09/2007,350000,Wanniassa,2903,-35.387449,149.095223,0,2,3,house,ACT602
20/09/2007,396500,Wanniassa,2903,-35.40346909,149.0802002,2,2,4,house,ACT602
20/09/2007,479000,Narrabundah,2604,-35.32859421,149.1535645,5,1,3,house,ACT218
21/09/2007,1460000,Red Hill,2603,-35.34159851,149.1329651,2,NULL,5,house,ACT221
22/09/2007,350000,Evatt,2617,NULL,NULL,0,1,3,house,ACT574
22/09/2007,500000,Downer,2602,NULL,NULL,3,2,4,house,ACT124
22/09/2007,506000,Downer,2602,-35.23911667,149.1407318,2,1,4,house,ACT124
22/09/2007,520000,Torrens,2607,-35.37470627,149.0825958,2,NULL,4,house,ACT332
24/09/2007,675000,Weston,2611,-35.33276367,149.0602112,2,NULL,4,house,ACT441
24/09/2007,920000,Turner,2612,NULL,NULL,2,2,4,house,ACT105
26/09/2007,50000,Fadden,2904,-35.39645767,149.1144867,2,2,4,house,ACT605
26/09/2007,548000,Braddon,2612,NULL,NULL,2,2,2,house,ACT106
27/09/2007,507000,Wanniassa,2903,-35.398424,149.098245,2,2,4,house,ACT602
28/09/2007,450000,Spence,2615,NULL,NULL,2,NULL,4,house,ACT576
28/09/2007,450000,Gordon,2906,-35.469352,149.090116,2,2,3,house,ACT616
1/10/2007,539000,Curtin,2605,-35.32529449,149.0805969,2,NULL,4,house,ACT328
2/10/2007,475000,Duffy,2611,NULL,NULL,2,NULL,3,house,ACT446
5/10/2007,550000,Weston,2611,-35.33666611,149.0615845,1,NULL,3,house,ACT441
6/10/2007,50000,Dickson,2602,-35.25682831,149.1373291,2,2,4,house,ACT102
6/10/2007,50000,Narrabundah,2604,-35.34133911,149.1416626,1,2,4,house,ACT218
8/10/2007,550000,Kaleen,2617,NULL,NULL,3,3,4,house,ACT553
8/10/2007,550000,Hughes,2605,NULL,NULL,2,NULL,4,house,ACT327
8/10/2007,385000,Banks,2906,NULL,NULL,2,1,3,house,ACT614
9/10/2007,397000,Gowrie,2904,NULL,NULL,2,2,3,house,ACT604
10/10/2007,556000,Curtin,2605,-35.32167053,149.0821533,1,NULL,3,house,ACT328
12/10/2007,447000,Isabella Plains,2905,-35.425185,149.0844043,3,2,4,house,ACT612
12/10/2007,720000,Aranda,2614,NULL,NULL,2,3,4,house,ACT556
15/10/2007,675000,Hughes,2605,NULL,NULL,1,NULL,3,house,ACT327
15/10/2007,675000,Narrabundah,2604,-35.33441925,149.1420288,1,2,4,house,ACT218
15/10/2007,875000,Deakin,2600,NULL,NULL,2,2,3,house,ACT215
15/10/2007,273000,Holt,2615,NULL,NULL,1,NULL,1,house,ACT568
16/10/2007,368000,Dunlop,2615,NULL,NULL,2,NULL,3,house,ACT578
16/10/2007,385000,Theodore,2905,NULL,NULL,2,1,3,house,ACT610
17/10/2007,50000,Ainslie,2602,-35.25304413,149.1559143,2,1,3,house,ACT104
17/10/2007,560000,Monash,2904,NULL,NULL,2,2,5,house,ACT603
19/10/2007,455000,Richardson,2905,-35.41983032,149.1114807,3,2,4,house,ACT607
19/10/2007,480000,Gordon,2906,-35.462126,149.088341,2,3,4,house,ACT616
22/10/2007,550000,Curtin,2605,-35.32414246,149.0721436,0,NULL,3,house,ACT328
22/10/2007,50000,Griffith,2603,NULL,NULL,2,3,4,house,ACT220
22/10/2007,50000,Pearce,2607,-35.36102676,149.0765686,2,NULL,3,house,ACT331
24/10/2007,300500,Banks,2906,-35.468169,149.104717,0,2,3,house,ACT614
24/10/2007,505000,Watson,2602,NULL,NULL,2,NULL,3,house,ACT125
25/10/2007,135500,Downer,2602,-35.24189377,149.1407318,0,2,1,house,ACT124
25/10/2007,590000,Gungahlin,2912,NULL,NULL,2,NULL,4,house,ACT710
25/10/2007,645000,Bruce,2617,NULL,NULL,2,3,5,house,ACT555
25/10/2007,770000,Curtin,2605,-35.32786942,149.0761414,1,NULL,4,house,ACT328
26/10/2007,1100000,Nicholls,2913,NULL,NULL,2,3,5,house,ACT708
27/10/2007,550000,Hughes,2605,-35.32946396,149.0991669,2,NULL,5,house,ACT327
29/10/2007,655000,Aranda,2614,-35.25597382,149.0865784,1,2,6,house,ACT556
2/11/2007,365000,Palmerston,2913,NULL,NULL,1,1,3,house,ACT709
2/11/2007,612500,Pearce,2607,-35.36095428,149.0761414,2,NULL,4,house,ACT331
2/11/2007,985000,Hughes,2605,-35.33755875,149.0933533,2,NULL,6,house,ACT327
3/11/2007,550000,Narrabundah,2604,-35.33812332,149.1464386,2,2,4,house,ACT218
5/11/2007,875000,Deakin,2600,-35.32027054,149.1057892,1,3,3,house,ACT215
5/11/2007,472500,Latham,2615,NULL,NULL,2,NULL,4,house,ACT566
5/11/2007,600000,Duffy,2611,-35.33332062,149.0279694,1,NULL,5,house,ACT446
7/11/2007,372500,Holt,2615,NULL,NULL,1,NULL,3,house,ACT568
8/11/2007,395000,Isabella Plains,2905,-35.4253505,149.0845968,4,1,3,house,ACT612
8/11/2007,497000,Ainslie,2602,-35.25838852,149.1393585,0,1,2,house,ACT104
8/11/2007,595000,Banks,2906,-35.468952,149.104451,2,2,4,house,ACT614
9/11/2007,875000,Nicholls,2913,NULL,NULL,3,3,5,house,ACT708
10/11/2007,550000,Aranda,2614,-35.25764847,149.0783081,2,1,3,house,ACT556
12/11/2007,465000,Weston,2611,-35.33507919,149.0539246,2,NULL,2,house,ACT441
12/11/2007,505000,Wanniassa,2903,-35.38650131,149.0948334,3,1,4,house,ACT602
16/11/2007,379000,Holt,2615,NULL,NULL,2,NULL,3,house,ACT568
16/11/2007,505000,Narrabundah,2604,-35.34065247,149.143692,1,1,3,house,ACT218
17/11/2007,675000,Chifley,2606,NULL,NULL,1,NULL,3,house,ACT337
17/11/2007,380000,Scullin,2614,-35.22980118,149.0428467,0,1,3,house,ACT564
17/11/2007,655000,Kambah,2902,NULL,NULL,2,NULL,4,house,ACT601
17/11/2007,760000,Griffith,2603,NULL,NULL,2,2,3,house,ACT220
17/11/2007,760500,Griffith,2603,-35.32244492,149.1390076,2,2,3,house,ACT220
17/11/2007,1050000,Turner,2612,NULL,NULL,4,3,8,house,ACT105
20/11/2007,350000,Phillip,2606,NULL,NULL,1,1,2,house,ACT338
20/11/2007,442500,Dunlop,2615,NULL,NULL,2,NULL,4,house,ACT578
22/11/2007,447000,Conder,2906,-35.456534,149.097321,2,1,3,house,ACT613
22/11/2007,560000,Kambah,2902,NULL,NULL,3,NULL,4,house,ACT601
23/11/2007,560000,Monash,2904,NULL,NULL,2,2,4,house,ACT603
24/11/2007,335000,Chisholm,2905,NULL,NULL,1,1,3,house,ACT609
24/11/2007,575000,Hughes,2605,-35.33190918,149.0962982,1,NULL,3,house,ACT327
27/11/2007,439000,Kambah,2902,NULL,NULL,0,NULL,3,house,ACT601
29/11/2007,308000,Gungahlin,2912,NULL,NULL,1,NULL,1,house,ACT710
29/11/2007,353000,Banks,2906,-35.4738,149.095601,1,2,3,house,ACT614
30/11/2007,370000,Richardson,2905,-35.4255867,149.110733,2,1,3,house,ACT607
30/11/2007,425000,Watson,2602,NULL,NULL,1,2,3,house,ACT125
30/11/2007,825000,Ainslie,2602,-35.26637268,149.1385651,1,1,3,house,ACT104
1/12/2007,930000,Melba,2615,NULL,NULL,2,NULL,5,house,ACT572
3/12/2007,365000,Chisholm,2905,NULL,NULL,1,1,3,house,ACT609
3/12/2007,387000,Gordon,2906,-35.466704,149.084423,2,1,3,house,ACT616
4/12/2007,620000,Banks,2906,-35.473622,149.094027,2,1,4,house,ACT614
5/12/2007,825000,Deakin,2600,-35.32103348,149.1039887,2,1,3,house,ACT215
6/12/2007,335000,Theodore,2905,NULL,NULL,1,1,3,house,ACT610
7/12/2007,350000,Kambah,2902,NULL,NULL,2,NULL,3,house,ACT601
8/12/2007,50000,Farrer,2607,-35.37467575,149.0990906,2,NULL,4,house,ACT334
8/12/2007,421000,Dickson,2602,-35.25668716,149.1407166,3,1,3,house,ACT102
8/12/2007,545000,Banks,2906,-35.470477,149.10721,2,2,4,house,ACT614
10/12/2007,675000,Harrison,2914,NULL,NULL,2,NULL,4,house,ACT711
10/12/2007,350000,Belconnen,2616,NULL,NULL,1,1,2,house,ACT559
12/12/2007,635000,Curtin,2605,-35.32849884,149.0829773,1,NULL,4,house,ACT328
13/12/2007,357500,Lyons,2606,NULL,NULL,2,NULL,3,house,ACT329
13/12/2007,400000,Ngunnawal,2913,NULL,NULL,1,NULL,4,house,ACT706
13/12/2007,1105000,Campbell,2612,NULL,NULL,2,3,4,house,ACT110
14/12/2007,259000,Downer,2602,-35.24514771,149.1422119,1,1,2,house,ACT124
14/12/2007,437500,Richardson,2905,-35.432853,149.124928,2,2,3,house,ACT607
15/12/2007,50000,Deakin,2600,-35.32022858,149.09935,2,1,5,house,ACT215
15/12/2007,50000,Kambah,2902,-35.38299561,149.0639801,2,NULL,4,house,ACT601
15/12/2007,875000,Hughes,2605,-35.33612823,149.101059,2,NULL,4,house,ACT327
15/12/2007,530000,Conder,2906,-35.462462,149.09166,2,2,4,house,ACT613
17/12/2007,675000,Chifley,2606,NULL,NULL,1,NULL,3,house,ACT337
17/12/2007,875000,Chapman,2611,-35.36128616,149.0444794,0,NULL,4,house,ACT444
19/12/2007,630000,Ainslie,2602,-35.2568779,149.1543884,1,1,3,house,ACT104
20/12/2007,615000,Isabella Plains,2905,-35.429312,149.098363,4,1,4,house,ACT612
21/12/2007,332000,Spence,2615,NULL,NULL,1,2,3,house,ACT576
21/12/2007,490000,Kambah,2902,-35.39242172,149.0604401,2,NULL,3,house,ACT601
29/12/2007,450000,Kaleen,2617,NULL,NULL,2,2,3,house,ACT553
2/01/2008,309000,Banks,2906,-35.4692,149.099855,1,1,2,house,ACT614
11/01/2008,875000,Hackett,2602,-35.25239182,149.1617737,2,3,4,house,ACT126
14/01/2008,413000,Downer,2602,-35.23913574,149.1428375,1,1,3,house,ACT124
15/01/2008,420000,Hawker,2614,NULL,NULL,0,1,3,house,ACT563
15/01/2008,445000,Theodore,2905,NULL,NULL,2,2,4,house,ACT610
15/01/2008,600000,Kambah,2902,-35.38986588,149.0343323,2,NULL,4,house,ACT601
17/01/2008,417500,Hughes,2605,-35.33274078,149.099823,1,NULL,2,house,ACT327
17/01/2008,462500,Palmerston,2913,NULL,NULL,2,2,4,house,ACT709
17/01/2008,485000,Spence,2615,NULL,NULL,1,1,4,house,ACT576
18/01/2008,525000,Ainslie,2602,-35.2600441,149.1460266,2,1,4,house,ACT104
18/01/2008,580000,Watson,2602,NULL,NULL,2,1,4,house,ACT125
23/01/2008,380000,City,2601,NULL,NULL,1,2,1,house,ACT108
24/01/2008,560000,Watson,2602,NULL,NULL,1,1,4,house,ACT125
24/01/2008,575000,Banks,2906,-35.474107,149.091758,2,2,4,house,ACT614
24/01/2008,1035000,Reid,2612,NULL,NULL,3,3,4,house,ACT109
30/01/2008,485000,Ainslie,2602,-35.26412201,149.1490021,1,2,3,house,ACT104
1/02/2008,599000,Calwell,2905,NULL,NULL,2,2,4,house,ACT611
4/02/2008,349000,Kambah,2902,-35.38861847,149.0695038,2,NULL,3,house,ACT601
5/02/2008,350000,Conder,2906,-35.45739,149.098263,1,1,3,house,ACT613
7/02/2008,360000,Theodore,2905,NULL,NULL,2,1,3,house,ACT610
7/02/2008,375000,Scullin,2614,-35.23329163,149.0449829,1,1,3,house,ACT564
7/02/2008,405000,Isabella Plains,2905,-35.4297142,149.0920715,2,1,3,house,ACT612
8/02/2008,350000,Calwell,2905,NULL,NULL,2,1,3,house,ACT611
8/02/2008,395000,Giralang,2617,-35.21104431,149.09758,2,1,3,house,ACT552
9/02/2008,417000,Conder,2906,-35.452899,149.092078,2,2,3,house,ACT613
9/02/2008,560000,Ainslie,2602,-35.26045227,149.1463928,1,1,3,house,ACT104
9/02/2008,650000,Wanniassa,2903,-35.39426804,149.0863495,4,2,4,house,ACT602
11/02/2008,416000,Evatt,2617,NULL,NULL,2,1,4,house,ACT574
12/02/2008,50000,Narrabundah,2604,-35.33278275,149.1390533,1,1,3,house,ACT218
12/02/2008,749000,Kambah,2902,-35.39753723,149.0586243,2,NULL,4,house,ACT601
15/02/2008,575000,Fadden,2904,-35.40040588,149.1082611,2,2,4,house,ACT605
15/02/2008,625000,Downer,2602,-35.24226379,149.1418152,0,1,3,house,ACT124
16/02/2008,675000,Red Hill,2603,-35.33988571,149.1305542,1,3,3,house,ACT221
16/02/2008,610000,Fisher,2611,-35.3582077,149.0575867,2,2,5,house,ACT443
19/02/2008,445000,Dunlop,2615,NULL,NULL,2,NULL,4,house,ACT578
21/02/2008,50000,Deakin,2600,-35.32159042,149.1044159,1,1,3,house,ACT215
21/02/2008,432000,Stirling,2611,NULL,NULL,2,NULL,3,house,ACT448
21/02/2008,655000,Rivett,2611,NULL,NULL,4,NULL,5,house,ACT445
23/02/2008,50000,Isaacs,2607,-35.37145615,149.1109161,3,3,5,house,ACT336
23/02/2008,500000,Kaleen,2617,NULL,NULL,2,1,4,house,ACT553
23/02/2008,515000,Ainslie,2602,-35.26441956,149.1377258,0,2,2,house,ACT104
23/02/2008,811000,Garran,2605,NULL,NULL,2,NULL,5,house,ACT330
26/02/2008,50000,Chifley,2606,NULL,NULL,2,NULL,3,house,ACT337
27/02/2008,590000,Fadden,2904,-35.40129471,149.1233063,2,3,4,house,ACT605
27/02/2008,645000,Calwell,2905,NULL,NULL,2,2,5,house,ACT611
27/02/2008,730000,Braddon,2612,-35.26499557,149.1362457,2,2,4,house,ACT106
29/02/2008,342000,Banks,2906,-35.466031,149.097765,1,2,3,house,ACT614
29/02/2008,471000,Evatt,2617,-35.20270538,149.0722656,1,1,4,house,ACT574
29/02/2008,488000,Kaleen,2617,-35.21679306,149.1039734,2,2,3,house,ACT553
1/03/2008,50000,Deakin,2600,-35.3156929,149.1102295,2,1,3,house,ACT215
3/03/2008,675000,Torrens,2607,-35.37160873,149.086731,2,2,3,house,ACT332
8/03/2008,522000,Ainslie,2602,-35.27177048,149.1461792,1,1,3,house,ACT104
